candidate_id,recommendation,rank_score,title,year,doi,authors,source,matched_concepts,branch_files,duplicate_count,reason,human_review_required,metadata_only,scientific_evidence
524cd3ec721d,POTENTIAL_KILL_PAPER,100,Self-Centering Energy-Dissipative Restrainers Incorporating SMA Ring Springs,2023,10.1061/jsendh.steng-11594,Fang C.; Cao C.; Zheng Y.; Wu H.; Wang W.; Liang D.,Journal of Structural Engineering (United States),bending_stiffness; contact_friction; jamming; niti_sma; phase_hysteresis; pressure_control; wire_bundle,forward/F09.csv,0,"Metadata combines a wire/cable bundle, contact/friction/slip, pressure/confinement, and structural stiffness/bending; full text is required to determine whether pressure is actively varied and whether the mechanism directly threatens T2/T3.",True,True,False
d19bea0f4f50,GET_FULL_TEXT,70,RESEARCH PROGRESS ON SMA CABLE-BASED SELF-CENTERING DEVICES AND STRUCTURES; [基于SMA 线缆自复位装置与结构研究进展],2026,10.6052/j.issn.1000-4750.2025.09.st03,Zhou Y.; Almas E.; Shi F.; Lie W.-C.,Gongcheng Lixue/Engineering Mechanics,contact_friction; niti_sma; phase_hysteresis; wire_bundle,forward/F09.csv; forward/F10.csv,1,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
2aabdc747a59,GET_FULL_TEXT,70,Development and characterization of thin iron-based shape memory alloy prestressing wire,2024,10.1016/j.prostr.2024.09.304,Triantafyllidis Z.; Oza M.J.; Michels J.; Wyrzykowski M.; Shahverdi M.,Procedia Structural Integrity,niti_sma; pressure_control; wire_bundle,forward/F09.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
8021b362b93c,GET_FULL_TEXT,70,Displacement-based seismic design of SMA cable-restrained sliding lead rubber bearing for isolated continuous girder bridges,2024,10.1016/j.engstruct.2023.117179,Long X.; Zhou Q.; Ma Y.; Gui S.; Lu C.,Engineering Structures,bending_stiffness; contact_friction; niti_sma; phase_hysteresis; wire_bundle,forward/F09.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
58033c8e1330,GET_FULL_TEXT,70,Emerging superelastic SMA core damping elements for seismic application,2023,10.3389/fbuil.2022.953273,Fang C.; Yam M.C.H.,Frontiers in Built Environment,contact_friction; niti_sma; phase_hysteresis; wire_bundle,forward/F09.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
cfee04aa9462,GET_FULL_TEXT,70,Performance-based life-cycle assessments of a resilient bridge system equipped with smart bearings,2023,10.1177/1045389x221136296,Liang D.; Wu H.; You X.; Yang H.; Liang H.,Journal of Intelligent Material Systems and Structures,contact_friction; niti_sma; phase_hysteresis; wire_bundle,forward/F07.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
2926c439d52d,GET_FULL_TEXT,70,Mechanical response of single and double-helix SMA wire ropes,2022,10.1080/15376494.2021.1955313,Vahidi S.; Arghavani J.; Choi E.; Ostadrahimi A.,Mechanics of Advanced Materials and Structures,contact_friction; niti_sma; phase_hysteresis; wire_bundle,forward/F09.csv; forward/F10.csv,1,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
374d90b26f35,GET_FULL_TEXT,70,A NOVEL SMA-CABLE-BASED PURE FRICTION SLIDING BEARING FOR SEISMIC RESILIENT IMPROVEMENT OF HIGHWAY BRIDGES,2021,,Liang D.; Zheng Y.; Fang C.,World Conference on Earthquake Engineering proceedings,bending_stiffness; contact_friction; niti_sma; phase_hysteresis; wire_bundle,forward/F09.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
90acd3b339cb,GET_FULL_TEXT,70,Finite Element Method for Mechanical Behavior of Shape Memory Alloy Superelastic Cables; [形状记忆合金超弹性缆索力学行为的有限单元法],2020,10.3901/jme.2020.14.065,Kang Z.; Wang Z.; Zhou B.; Xue S.,Jixie Gongcheng Xuebao/Journal of Mechanical Engineering,contact_friction; niti_sma; phase_hysteresis; wire_bundle,forward/F07.csv; forward/F09.csv; forward/F10.csv,2,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
99732c55014c,GET_FULL_TEXT,70,Shape memory alloy (SMA)-based superelasticity-assisted slider (SSS): An engineering solution for practical aseismic isolation with advanced materials,2020,10.12989/sss.2020.26.1.089,Narjabadifam P.; Noori M.; Cardone D.; Eradat R.; Kiani M.,Smart Structures and Systems,contact_friction; niti_sma; phase_hysteresis; wire_bundle,forward/F07.csv; forward/F09.csv,1,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
